資料來源 http://fare.fetc.net.tw/Rate.aspx

| #國道     | 出發交流道           | 結束交流道           | 里程 | 牌價 | 假日 |
| #名稱     |                      |                      |      |      | 里程 |
|-----------+----------------------+----------------------+------+------+------|
| 國 4      | 神岡                 | 台中系統             |  0.0 |  0.0 |    0 |
| 國 4      | 台中系統             | 后豐                 |  0.0 |  0.0 |    0 |
| 國 4      | 后豐                 | 豐原端               |  0.0 |  0.0 |    0 |
|-----------+----------------------+----------------------+------+------+------|
| 國 5      | 南港系統             | 石碇                 |  4.1 |  4.9 |    4 |
| 國 5      | 石碇                 | 坪林專用道           | 10.5 | 12.6 |   10 |
| 國 5      | 坪林專用道           | 頭城                 | 15.7 | 18.8 |   16 |
| 國 5      | 頭城                 | 宜蘭(北)             |  6.5 |  7.8 |    6 |
| 國 5      | 宜蘭(北)             | 宜蘭(南)             |  3.9 |  4.6 |    4 |
| 國 5      | 宜蘭(南)             | 羅東                 |  5.7 |  6.9 |    7 |
| 國 5      | 羅東                 | 蘇澳                 |  6.9 |  8.2 |    7 |
|-----------+----------------------+----------------------+------+------+------|
| 國 6      | 霧峰系統             | 舊正                 |  0.0 |  0.0 |    0 |
| 國 6      | 舊正                 | 東草屯               |  0.0 |  0.0 |    0 |
| 國 6      | 東草屯               | 國姓                 |  0.0 |  0.0 |    0 |
| 國 6      | 國姓                 | 北山                 |  0.0 |  0.0 |    0 |
| 國 6      | 北山                 | 愛蘭                 |  0.0 |  0.0 |    0 |
| 國 6      | 愛蘭                 | 埔里                 |  0.0 |  0.0 |    0 |
| 國 6      | 埔里                 | 埔里端               |  0.0 |  0.0 |    0 |
|-----------+----------------------+----------------------+------+------+------|
| 國 8      | 台南端               | 新吉                 |  0.0 |  0.0 |    0 |
| 國 8      | 新吉                 | 台南系統             |  0.0 |  0.0 |    0 |
| 國 8      | 台南系統             | 新市                 |  0.0 |  0.0 |    0 |
| 國 8      | 新市                 | 新化系統             |  0.0 |  0.0 |    0 |
| 國 8      | 新化系統             | 新化端               |  0.0 |  0.0 |    0 |
|-----------+----------------------+----------------------+------+------+------|
| 國 10     | 鼎金系統             | 仁武(水管路)         |  0.0 |  0.0 |    0 |
